Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
6504.166666666667,6591.566666666667,1354.7333333333333,694.4666666666667,1718.3666666666666,1264.5666666666666,1253.0333333333333,303.2,53.9
6692.0,6117.1,1210.0,794.5666666666667,1684.8,1164.7,1194.9,151.0,59.36666666666667
6535.366666666667,6618.666666666667,1274.6,774.4666666666667,1734.7666666666667,1278.2,1097.8,161.66666666666666,53.46666666666667
6248.633333333333,6290.133333333333,1237.1666666666667,1013.2,1793.9666666666667,1118.5333333333333,1119.8333333333333,184.8,52.36666666666667
6602.833333333333,6248.233333333334,1250.0333333333333,1001.1,1851.1,1274.5333333333333,1196.6333333333334,158.86666666666667,50.833333333333336
6298.766666666666,6413.133333333333,1270.2,832.0333333333333,1825.2333333333333,1154.6333333333334,1126.9333333333334,138.46666666666667,52.833333333333336
6634.833333333333,6256.8,1293.4666666666667,534.4333333333333,1707.9333333333334,1271.3666666666666,1215.8333333333333,195.2,56.166666666666664
6339.5,6568.333333333333,1269.9333333333334,756.2666666666667,1857.6,1034.5,990.6666666666666,136.03333333333333,56.53333333333333
6530.033333333334,6167.8,1334.5666666666666,688.0666666666667,1664.2666666666667,1406.4666666666667,1123.5666666666666,225.6,55.7
6664.4,6481.5,1292.9666666666667,719.1666666666666,1788.1333333333334,1187.0,1128.1,295.6666666666667,58.0
6798.966666666666,6355.3,1375.2,938.9,1388.5666666666666,1241.0333333333333,1224.5333333333333,220.16666666666666,55.6
6323.9,6196.833333333333,1293.3666666666666,785.6666666666666,1924.5666666666666,1090.9333333333334,1104.7333333333333,205.9,57.166666666666664
6461.566666666667,6597.833333333333,1305.8333333333333,1017.2,2020.1666666666667,1235.9333333333334,1199.2333333333333,169.3,60.666666666666664
6708.633333333333,6555.0,1289.7333333333333,764.4,1612.6666666666667,1219.0333333333333,1099.8666666666666,151.9,52.86666666666667
6619.733333333334,6440.4,1316.4333333333334,737.7,1693.7,1043.1,1109.0666666666666,152.5,58.43333333333333
6756.433333333333,6277.9,1341.1333333333334,735.2666666666667,1802.5333333333333,960.8,1135.5333333333333,141.83333333333334,52.766666666666666
6481.0,6556.6,1199.6,961.6666666666666,1899.6666666666667,1154.0333333333333,1044.1666666666667,220.8,55.96666666666667
6210.766666666666,6762.033333333334,1361.0,738.0666666666667,2047.3,1220.9,1004.4,171.93333333333334,53.03333333333333
6979.733333333334,6501.166666666667,1283.4,813.2666666666667,1917.2666666666667,1096.8333333333333,1223.9333333333334,149.1,54.36666666666667
6335.433333333333,6794.733333333334,1278.6,735.7,2001.1333333333334,1188.7333333333333,1096.6333333333334,184.63333333333333,53.2
6478.3,6285.166666666667,1263.3,843.3666666666667,1593.4666666666667,1267.7333333333333,1137.2,134.2,56.3
6499.9,6512.233333333334,1301.9666666666667,759.9666666666667,1654.7333333333333,1198.7,1081.2666666666667,169.66666666666666,55.733333333333334
6386.766666666666,6122.5,1294.4666666666667,552.8666666666667,1929.3,1273.0,1156.8333333333333,171.46666666666667,54.06666666666667
6717.266666666666,6302.533333333334,1262.3666666666666,759.8666666666667,1740.0,1276.4,1077.4,178.83333333333334,50.46666666666667
6352.633333333333,6761.833333333333,1197.0666666666666,610.7666666666667,1949.2666666666667,1248.1333333333334,1147.8333333333333,166.53333333333333,52.0
6502.5,6666.366666666667,1293.3,818.5,1908.4666666666667,908.9333333333333,1093.4666666666667,240.33333333333334,60.8
6493.6,6392.733333333334,1356.9,894.3666666666667,1729.4666666666667,1149.5333333333333,1063.8333333333333,96.43333333333334,56.36666666666667
6711.2,6044.466666666666,1187.8,823.5666666666667,2192.266666666667,1205.4,1155.0666666666666,155.76666666666668,55.03333333333333
6480.3,6546.4,1197.7666666666667,620.7333333333333,1671.0333333333333,1107.5666666666666,1032.1,124.86666666666666,54.53333333333333
6612.833333333333,6253.066666666667,1265.6,772.0,1678.0666666666666,1136.5,1105.5,207.03333333333333,54.0
6831.833333333333,6438.833333333333,1304.1666666666667,796.5333333333333,1817.2,1272.6333333333334,1168.2333333333333,126.13333333333334,54.86666666666667
6441.533333333334,6339.466666666666,1216.7666666666667,632.7666666666667,1768.3,970.8333333333334,1137.3666666666666,205.86666666666667,58.7
6634.733333333334,6299.133333333333,1292.1,631.9,1794.0333333333333,1060.9666666666667,1139.6666666666667,224.7,58.06666666666667
6462.633333333333,6644.766666666666,1227.8,707.6666666666666,1857.3,1096.9333333333334,1096.3333333333333,130.23333333333332,54.4
6506.6,6796.466666666666,1268.4333333333334,1082.6666666666667,1941.8333333333333,968.3666666666667,1103.3666666666666,175.26666666666668,55.7
6782.833333333333,6351.6,1248.6333333333334,903.5,1924.4,1147.7333333333333,1187.8333333333333,225.8,55.13333333333333
6589.933333333333,6437.6,1310.3333333333333,958.9,1716.6666666666667,1232.6,1248.7333333333333,165.76666666666668,53.36666666666667
6635.333333333333,6346.8,1318.4,748.6,1691.4,1189.5666666666666,1095.1333333333334,177.53333333333333,57.4
6921.666666666667,6541.933333333333,1256.6,567.9333333333333,1874.3666666666666,1044.3333333333333,1078.8333333333333,110.13333333333334,55.2
6152.2,6574.066666666667,1197.4333333333334,754.0666666666667,1814.0,1182.2666666666667,1115.7666666666667,155.13333333333333,57.766666666666666
6460.633333333333,6514.966666666666,1318.1,855.0,1732.0666666666666,1196.9666666666667,1063.7333333333333,199.0,55.1
6439.6,6296.1,1293.9,919.4333333333333,1585.0666666666666,1134.3666666666666,1137.9666666666667,115.46666666666667,52.3
6700.966666666666,6463.4,1328.3,1095.5666666666666,1765.5666666666666,1345.8666666666666,1059.7,173.0,57.266666666666666
6212.433333333333,6334.7,1334.9,758.7333333333333,1764.9,1175.6,1048.3666666666666,202.13333333333333,50.56666666666667
6860.833333333333,6385.233333333334,1263.6,578.2333333333333,1801.8333333333333,1094.7,1189.1,173.13333333333333,56.1
6557.666666666667,6396.866666666667,1304.0333333333333,718.3,1788.9333333333334,1276.0,1143.9333333333334,188.0,50.8
6251.7,6460.1,1303.9666666666667,1117.6666666666667,1651.8666666666666,1252.4333333333334,1059.2333333333333,220.93333333333334,54.666666666666664
6586.2,6812.0,1280.7333333333333,790.6,1801.7666666666667,1131.9666666666667,1192.8333333333333,229.36666666666667,56.8
6486.333333333333,6369.266666666666,1253.5,699.5666666666667,2196.5333333333333,1224.2666666666667,1071.9666666666667,153.03333333333333,54.03333333333333
6330.833333333333,6431.1,1353.4666666666667,738.8333333333334,1647.9333333333334,1146.9666666666667,1195.8333333333333,143.1,53.833333333333336
